Country,Average Temperature
Albania,59.47
Algeria,62.3
Argentina,60.41
Australia,61.29
Austria,51.82
Bahamas,76.21
Bahrain,79.97
Belarus,11.47
Belgium,50.01
Belize,78.85
Benin,79.43
Bolivia,44.13
Brazil,70.88
Bulgaria,50.73
Canada,36.24
Central African Republic,62.85
China,59.35
Colombia,55.09
Congo,76.16
Costa Rica,70.67
Croatia,54.0
Cuba,73.86
Czech Republic,47.94
Denmark,46.86
Dominican Republic,75.62
Egypt,70.99
Equador,73.83
Ethiopia,55.12
Finland,41.53
France,54.1
Gabon,77.59
Gambia,75.36
Germany,48.25
Guatemala,64.96
Guinea,62.42
Guinea-Bissau,77.53
Haiti,73.38
Honduras,68.83
Hong Kong,74.41
Hungary,51.52
Iceland,40.08
India,78.27
Indonesia,81.01
Ireland,47.39
Italy,56.9
Ivory Coast,79.04
Japan,55.25
Jordan,62.51
Kazakhstan,50.62
Kenya,64.68
Kuwait,77.14
Kyrgyzstan,52.76
Laos,79.24
Latvia,44.95
Lebanon,67.86
Macedonia,54.25
Madagascar,64.47
Malaysia,79.98
Mexico,65.33
Mongolia,29.26
Morocco,59.73
Mozambique,72.41
Myanmar (Burma),79.67
Namibia,65.52
Nepal,62.71
New Zealand,57.94
Nicaragua,79.16
Nigeria,80.33
North Korea,50.79
Norway,39.81
Oman,63.02
Pakistan,28.23
Panama,77.65
Philippines,80.48
Poland,49.37
Portugal,59.29
Qatar,81.39
Romania,53.04
Russia,42.83
Saudi Arabia,78.69
Senegal,73.56
Singapore,80.32
Slovakia,51.73
South Africa,60.4
South Korea,52.56
Spain,58.26
Sri Lanka,78.87
Suriname,76.9
Sweden,44.18
Switzerland,49.04
Syria,61.51
Taiwan,72.75
Tajikistan,59.17
Tanzania,77.69
The Netherlands,49.98
Togo,77.81
Tunisia,64.67
Turkey,54.97
Turkmenistan,62.49
US,56.71
Uganda,66.44
Ukraine,48.81
United Arab Emirates,81.73
United Kingdom,49.52
Uruguay,59.54
Uzbekistan,59.36
Venezuela,71.0
Vietnam,74.33
Yugoslavia,54.41
